meter_number,meter_size,branch,current_location,status
NCWSC1501128325S,0.5'',roysambu,roysambu store,available
NCWSC1501128525S,0.5'',roysambu,roysambu store,available
NCWSC1501128625S,0.5'',roysambu,roysambu store,available
NCWSC1501128725S,0.5'',roysambu,roysambu store,available
NCWSC1501128825S,0.5'',roysambu,roysambu store,available
NCWSC1501128925S,0.5'',roysambu,roysambu store,available
NCWSC1501129125S,0.5'',roysambu,roysambu store,available
NCWSC1501129225S,0.5'',roysambu,roysambu store,available
NCWSC1501129325S,0.5'',roysambu,roysambu store,available
NCWSC1501129425S,0.5'',roysambu,roysambu store,available
NCWSC1501129525S,0.5'',roysambu,roysambu store,available
NCWSC1501129625S,0.5'',roysambu,roysambu store,available
NCWSC1501129725S,0.5'',roysambu,roysambu store,available
NCWSC1501129825S,0.5'',roysambu,roysambu store,available
NCWSC1501129925S,0.5'',roysambu,roysambu store,available
NCWSC1501130025S,0.5'',roysambu,roysambu store,available
NCWSC1501133125S,0.5'',roysambu,roysambu store,available
NCWSC1501133125S,0.5'',roysambu,roysambu store,available
NCWSC1501133225S,0.5'',roysambu,roysambu store,available
NCWSC1501133325S,0.5'',roysambu,roysambu store,available
NCWSC1501133425S,0.5'',roysambu,roysambu store,available
NCWSC1501133525S,0.5'',roysambu,roysambu store,available
NCWSC1501133625S,0.5'',roysambu,roysambu store,available
NCWSC1501133725S,0.5'',roysambu,roysambu store,available
NCWSC1501133825S,0.5'',roysambu,roysambu store,available
NCWSC1501133925S,0.5'',roysambu,roysambu store,available
NCWSC1501134025S,0.5'',roysambu,roysambu store,available
NCWSC1501134225s,0.5'',roysambu,roysambu store,available
NCWSC1501134425s,0.5'',roysambu,roysambu store,available
NCWSC1501135325s,0.5'',roysambu,roysambu store,available
NCWSC1501140325s,0.5'',roysambu,roysambu store,available
NCWSC1501141425S,0.5'',roysambu,roysambu store,available
NCWSC1501141525S,0.5'',roysambu,roysambu store,available
NCWSC1501141625S,0.5'',roysambu,roysambu store,available
NCWSC1501141925S,0.5'',roysambu,roysambu store,available
NCWSC1501142025S,0.5'',roysambu,roysambu store,available
NCWSC1501145125S,0.5'',roysambu,roysambu store,available
NCWSC1501145225S,0.5'',roysambu,roysambu store,available
NCWSC1501145325S,0.5'',roysambu,roysambu store,available
NCWSC1501145425S,0.5'',roysambu,roysambu store,available
NCWSC1501145525S,0.5'',roysambu,roysambu store,available
NCWSC1501145725S,0.5'',roysambu,roysambu store,available
NCWSC1501145825S,0.5'',roysambu,roysambu store,available
NCWSC1501145925S,0.5'',roysambu,roysambu store,available
NCWSC1501146025S,0.5'',roysambu,roysambu store,available
NCWSC1501148125S,0.5'',roysambu,roysambu store,available
NCWSC1501148225S,0.5'',roysambu,roysambu store,available
NCWSC1501148325S,0.5'',roysambu,roysambu store,available
NCWSC1501148525S,0.5'',roysambu,roysambu store,available
NCWSC1501148625S,0.5'',roysambu,roysambu store,available
NCWSC1501148725S,0.5'',roysambu,roysambu store,available
NCWSC1501148825S,0.5'',roysambu,roysambu store,available
NCWSC1501148925S,0.5'',roysambu,roysambu store,available
NCWSC1501149025S,0.5'',roysambu,roysambu store,available
NCWSC1504148425S,0.5'',roysambu,roysambu store,available
NCWSC 1501139825S,0.5'',roysambu,roysambu store,available
NCWSC 15013139325,0.5'',roysambu,roysambu store,available
NCWSC 1501375425S,0.5'',roysambu,roysambu store,available
NCWSC1500325024V,0.5'',roysambu,roysambu store,available
NCWSC1501121125S,0.5'',roysambu,roysambu store,available
NCWSC1501121525S,0.5'',roysambu,roysambu store,available
NCWSC1501121725S,0.5'',roysambu,roysambu store,available
NCWSC1501121925S,0.5'',roysambu,roysambu store,available
NCWSC1501122025S,0.5'',roysambu,roysambu store,available
NCWSC1501124625S,0.5'',roysambu,roysambu store,available
NCWSC1501126125S,0.5'',roysambu,roysambu store,available
NCWSC1501126225S,0.5'',roysambu,roysambu store,available
NCWSC1501126325S,0.5'',roysambu,roysambu store,available
NCWSC1501126425S,0.5'',roysambu,roysambu store,available
NCWSC1501126525S,0.5'',roysambu,roysambu store,available
NCWSC1501126625S,0.5'',roysambu,roysambu store,available
NCWSC1501126725S,0.5'',roysambu,roysambu store,available
NCWSC1501126825S,0.5'',roysambu,roysambu store,available
NCWSC1501126925S,0.5'',roysambu,roysambu store,available
NCWSC1501127025S,0.5'',roysambu,roysambu store,available
NCWSC1501127225S,0.5'',roysambu,roysambu store,available
NCWSC1501127925S,0.5'',roysambu,roysambu store,available
NCWSC1501128025S,0.5'',roysambu,roysambu store,available
NCWSC1501128425S,0.5'',roysambu,roysambu store,available
NCWSC1501129025S,0.5'',roysambu,roysambu store,available
NCWSC1501130125S,0.5'',roysambu,roysambu store,available
NCWSC1501130225S,0.5'',roysambu,roysambu store,available
NCWSC1501130325S,0.5'',roysambu,roysambu store,available
NCWSC1501130425S,0.5'',roysambu,roysambu store,available
NCWSC1501130525S,0.5'',roysambu,roysambu store,available
NCWSC1501130625S,0.5'',roysambu,roysambu store,available
NCWSC1501130825S,0.5'',roysambu,roysambu store,available
NCWSC1501130925S,0.5'',roysambu,roysambu store,available
NCWSC1501131025S,0.5'',roysambu,roysambu store,available
NCWSC1501131325S,0.5'',roysambu,roysambu store,available
NCWSC1501131425S,0.5'',roysambu,roysambu store,available
NCWSC1501131525S,0.5'',roysambu,roysambu store,available
NCWSC1501131725S,0.5'',roysambu,roysambu store,available
NCWSC1501132025S,0.5'',roysambu,roysambu store,available
NCWSC1501132125S,0.5'',roysambu,roysambu store,available
NCWSC1501132225S,0.5'',roysambu,roysambu store,available
NCWSC1501132325S,0.5'',roysambu,roysambu store,available
NCWSC1501132425S,0.5'',roysambu,roysambu store,available
