meter_number,meter_size,branch,current_location,status
NCWSC1501398925S,0.5'',roysambu,roysambu store,available
NCWSC1501399025S,0.5'',roysambu,roysambu store,available
NCWSC1501399225S,0.5'',roysambu,roysambu store,available
NCWSC1501399325S,0.5'',roysambu,roysambu store,available
NCWSC1501399425S,0.5'',roysambu,roysambu store,available
NCWSC1501399425S,0.5'',roysambu,roysambu store,available
NCWSC1501399725S,0.5'',roysambu,roysambu store,available
NCWSC1501399825S,0.5'',roysambu,roysambu store,available
NCWSC1501400225S,0.5'',roysambu,roysambu store,available
NCWSC1501401025S,0.5'',roysambu,roysambu store,available
NCWSC1501417125S,0.5'',roysambu,roysambu store,available
NCWSC1501417225S,0.5'',roysambu,roysambu store,available
NCWSC1501417325S,0.5'',roysambu,roysambu store,available
NCWSC1501417425,0.5'',roysambu,roysambu store,available
NCWSC1501417625S,0.5'',roysambu,roysambu store,available
NCWSC1501417725,0.5'',roysambu,roysambu store,available
NCWSC1501417825,0.5'',roysambu,roysambu store,available
NCWSC1501417925,0.5'',roysambu,roysambu store,available
NCWSC1501418025S,0.5'',roysambu,roysambu store,available
NCWSC1507916916,0.5'',roysambu,roysambu store,available
NCWSC2000101825S,0.75'',roysambu,roysambu store,available
NCWSC2000101925S,0.75'',roysambu,roysambu store,available
NCWSC2000102025S,0.75'',roysambu,roysambu store,available
NCWSC2000102125S,0.75'',roysambu,roysambu store,available
NCWSC2000102225S,0.75'',roysambu,roysambu store,available
NCWSC2000102325S,0.75'',roysambu,roysambu store,available
NCWSC2000102425S,0.75'',roysambu,roysambu store,available
NCWSC2000102525S,0.75'',roysambu,roysambu store,available
NCWSC2000102625S,0.75'',roysambu,roysambu store,available
NCWSC2000102725S,0.75'',roysambu,roysambu store,available
NCWSC2000102825S,0.75'',roysambu,roysambu store,available
NCWSC2000103125S,0.75'',roysambu,roysambu store,available
NCWSC2000103325S,0.75'',roysambu,roysambu store,available
NCWSC2000103425S,0.75'',roysambu,roysambu store,available
NCWSC2000103525S,0.75'',roysambu,roysambu store,available
NCWSC2000103625S,0.75'',roysambu,roysambu store,available
NCWSC2000103725S,0.75'',roysambu,roysambu store,available
NCWSC2000103825S,0.75'',roysambu,roysambu store,available
NCWSC2000103925S,0.75'',roysambu,roysambu store,available
NCWSC2000104025S,0.75'',roysambu,roysambu store,available
NCWSC2000104125S,0.75'',roysambu,roysambu store,available
NCWSC2000104225S,0.75'',roysambu,roysambu store,available
NCWSC2000104325S,0.75'',roysambu,roysambu store,available
NCWSC2000104425S,0.75'',roysambu,roysambu store,available
NCWSC2000104525S,0.75'',roysambu,roysambu store,available
NCWSC2000104625S,0.75'',roysambu,roysambu store,available
NCWSC2000104725S,0.75'',roysambu,roysambu store,available
NCWSC2000104825S,0.75'',roysambu,roysambu store,available
NCWSC2000104925s,0.75'',roysambu,roysambu store,available
NCWSC2000105025S,0.75'',roysambu,roysambu store,available
NCWSC2000105125S,0.75'',roysambu,roysambu store,available
NCWSC2000105225S,0.75'',roysambu,roysambu store,available
NCWSC2000105325S,0.75'',roysambu,roysambu store,available
NCWSC2000105425S,0.75'',roysambu,roysambu store,available
NCWSC2000105525S,0.75'',roysambu,roysambu store,available
NCWSC2000105625S,0.75'',roysambu,roysambu store,available
NCWSC2000105825S,0.75'',roysambu,roysambu store,available
NCWSC2000105925S,0.75'',roysambu,roysambu store,available
NCWSC2000106025S,0.75'',roysambu,roysambu store,available
NCWSC2000106125S,0.75'',roysambu,roysambu store,available
NCWSC2000106225S,0.75'',roysambu,roysambu store,available
NCWSC2000106325S,0.75'',roysambu,roysambu store,available
NCWSC2000106425S,0.75'',roysambu,roysambu store,available
NCWSC2000106525S,0.75'',roysambu,roysambu store,available
NCWSC2000106625S,0.75'',roysambu,roysambu store,available
NCWSC2000106725S,0.75'',roysambu,roysambu store,available
NCWSC2000106825S,0.75'',roysambu,roysambu store,available
NCWSC2000106925S,0.75'',roysambu,roysambu store,available
NCWSC2000107025S,0.75'',roysambu,roysambu store,available
NCWSC2000107125S,0.75'',roysambu,roysambu store,available
NCWSC2000107225S,0.75'',roysambu,roysambu store,available
NCWSC2000107325S,0.75'',roysambu,roysambu store,available
NCWSC2000107425S,0.75'',roysambu,roysambu store,available
NCWSC2000107525S,0.75'',roysambu,roysambu store,available
NCWSC2000107625S,0.75'',roysambu,roysambu store,available
NCWSC2000107725S,0.75'',roysambu,roysambu store,available
NCWSC2000107825S,0.75'',roysambu,roysambu store,available
NCWSC2000107925S,0.75'',roysambu,roysambu store,available
NCWSC2000108025S,0.75'',roysambu,roysambu store,available
NCWSC2000108125S,0.75'',roysambu,roysambu store,available
NCWSC2000108225S,0.75'',roysambu,roysambu store,available
NCWSC2000108325S,0.75'',roysambu,roysambu store,available
NCWSC2000108425S,0.75'',roysambu,roysambu store,available
NCWSC2000108525S,0.75'',roysambu,roysambu store,available
NCWSC2000108625S,0.75'',roysambu,roysambu store,available
NCWSC2000108725S,0.75'',roysambu,roysambu store,available
NCWSC2000108925S,0.75'',roysambu,roysambu store,available
NCWSC2000109025S,0.75'',roysambu,roysambu store,available
NCWSC2000109125S,0.75'',roysambu,roysambu store,available
NCWSC2000109225S,0.75'',roysambu,roysambu store,available
NCWSC2000109325S,0.75'',roysambu,roysambu store,available
NCWSC2000109425S,0.75'',roysambu,roysambu store,available
NCWSC2000109525S,0.75'',roysambu,roysambu store,available
NCWSC2000109625S,0.75'',roysambu,roysambu store,available
NCWSC2000109725S,0.75'',roysambu,roysambu store,available
NCWSC2500057425S,"1""",roysambu,roysambu store,available
NCWSC2500057525S,"1""",roysambu,roysambu store,available
NCWSC2500057625S,"1""",roysambu,roysambu store,available
NCWSC2500057725S,"1""",roysambu,roysambu store,available
NCWSC2500057825S,"1""",roysambu,roysambu store,available
NCWSC2500057925S,"1""",roysambu,roysambu store,available
NCWSC2500058025S,"1""",roysambu,roysambu store,available
NCWSC2500058125S,"1""",roysambu,roysambu store,available
NCWSC2500058225S,"1""",roysambu,roysambu store,available
NCWSC2500058325S,"1""",roysambu,roysambu store,available
NCWSC2500058425S,"1""",roysambu,roysambu store,available
NCWSC2500058525S,"1""",roysambu,roysambu store,available
NCWSC2500058625S,"1""",roysambu,roysambu store,available
NCWSC2500058725S,"1""",roysambu,roysambu store,available
NCWSC2500058825S,"1""",roysambu,roysambu store,available
NCWSC2500058925S,"1""",roysambu,roysambu store,available
NCWSC2500059025S,"1""",roysambu,roysambu store,available
NCWSC2500059125S,"1""",roysambu,roysambu store,available
NCWSC2500059225S,"1""",roysambu,roysambu store,available
NCWSC2500059325S,"1""",roysambu,roysambu store,available
NCWSC4000005225S,1.5'',roysambu,roysambu store,available
NCWSC4000005325S,1.5'',roysambu,roysambu store,available
NCWSC4000005425S,1.5'',roysambu,roysambu store,available
NCWSC4000005525S,1.5'',roysambu,roysambu store,available
NCWSC4000005625S,1.5'',roysambu,roysambu store,available
NCWSC4000005725S,1.5'',roysambu,roysambu store,available
